Don't Start Now;Dua Lipa
POP STAR;DaBaby Featuring Kevin Gates
RAW SHIT;DaBaby Featuring Migos
GOSPEL;DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris
Writing On The Wall;French Montana Featuring Post Malone, Cardi B & Rvssian
REALLY;DaBaby Featuring Stunna 4 Vegas
XXL;DaBaby
PROLLY HEARD;DaBaby
Chicken Noodle Soup;j-hope Featuring Becky G.
Heartache Medication;Jon Pardi
By My Lonely;Kevin Gates
There He Go;DaBaby
INTRO;DaBaby
Memories;Maroon 5
Adicto;Tainy, Anuel AA & Ozuna
Stuck In A Dream;Lil Mosey x Gunna
Loco Contigo;DJ Snake, J. Balvin & Tyga
Don't Call Me Angel (Charlie's Angels);Ariana Grande, Miley Cyrus & Lana Del Rey
Camelot;NLE Choppa
Graveyard;Halsey
Behind Barz;Drake
Mood Swings;A Boogie Wit da Hoodie
Hot Girl Bummer;blackbear
1, 2 Many;Luke Combs & Brooks & Dunn
Remember You Young;Thomas Rhett
Take What You Want;Post Malone Featuring Ozzy Osbourne & Travis Scott
Hollywood's Bleeding;Post Malone
Enemies;Post Malone Featuring DaBaby
Saint-Tropez;Post Malone
Die For Me;Post Malone Featuring Future & Halsey
On The Road;Post Malone Featuring Meek Mill & Lil Baby
A Thousand Bad Times;Post Malone
I'm Gonna Be;Post Malone
Staring At The Sun;Post Malone Featuring SZA
Allergic;Post Malone
Myself;Post Malone
I Know;Post Malone
Liar;Camila Cabello
Internet;Post Malone
Shameless;Camila Cabello
Self Control;YoungBoy Never Broke Again
homecoming queen?;Kelsea Ballerini
223's;YNW Melly & 9lokknine
Circles;Post Malone
Doin' Time;Lana Del Rey
Babushka Boi;A$AP Rocky
Heat;Chris Brown Featuring Gunna
Out Of Luck;Lil Tecca
Shots;Lil Tecca
Bezerk;Big Sean Featuring A$AP Ferg & Hit-Boy
Good Vibes;Chris Janson
God Only Knows;for KING & COUNTRY
The Bones;Maren Morris
Love Me;Lil Tecca
La Cancion;J Balvin & Bad Bunny
The Man;Taylor Swift
I Forgot That You Existed;Taylor Swift
Cruel Summer;Taylor Swift
Paper Rings;Taylor Swift
Miss Americana & The Heartbreak Prince;Taylor Swift
I Think He Knows;Taylor Swift
Good As Hell;Lizzo
Cornelia Street;Taylor Swift
London Boy;Taylor Swift
Soon You'll Get Better;Taylor Swift Featuring Dixie Chicks
Death By A Thousand Cuts;Taylor Swift
Afterglow;Taylor Swift
False God;Taylor Swift
Playing Games;Summer Walker
Daylight;Taylor Swift
One Man Band;Old Dominion
It's Nice To Have A Friend;Taylor Swift
Lover;Taylor Swift
Hot;Young Thug Featuring Gunna
Bad Bad Bad;Young Thug Featuring Lil Baby
Motivation;Normani
Slide Away;Miley Cyrus
What's The Move;Young Thug Featuring Lil Uzi Vert
Just How It Is;Young Thug
Surf;Young Thug Featuring Gunna
Sup Mate;Young Thug Featuring Future
Won't Be Late;Swae Lee Featuring Drake
Heartless;Diplo Presents Thomas Wesley Featuring Morgan Wallen
Light It Up;Young Thug
Juicy;Doja Cat & Tyga
Lil Baby;Young Thug
Ecstasy;Young Thug Featuring Machine Gun Kelly
Every Little Thing;Russell Dickerson
Did It Again;Lil Tecca
Hot Girl Summer;Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign
Mac 10;Trippie Redd Featuring Lil Baby & Lil Duke
Small Talk;Katy Perry
Night Falls;Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair
On Chill;Wale Featuring Jeremih
Snake Skin;Trippie Redd
Buy My Own Drinks;Runaway June
F.N;Lil Tjay
Baby Sitter;DaBaby Featuring Offset
Boyfriend;Ariana Grande & Social House
Trust Issues;Drake
How About Now;Drake
The Motion;Drake
Queen Of Mean;Sarah Jeffery
Dreams Money Can Buy;Drake
Uno;Ambjaay
Club Paradise;Drake
We Were;Keith Urban
Fear Inoculum;Tool
Love You Too Late;Cole Swindell
Days In The East;Drake
What Happens In A Small Town;Brantley Gilbert + Lindsay Ell
Prayed For You;Matt Stell
Gold Roses;Rick Ross Featuring Drake
Hot Shower;Chance The Rapper Featuring MadeinTYO & DaBaby
Single Again;Big Sean
Takeaway;The Chainsmokers & Illenium Featuring Lennon Stella
Living;Dierks Bentley
Leave Me Alone;NF
Daddy;Blueface & Rich The Kid
All Day Long;Chance The Rapper Featuring John Legend
Do You Remember;Chance The Rapper Featuring Death Cab For Cutie
How Do You Sleep?;Sam Smith
Baby;Lil Baby & DaBaby
China;Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin
The Archer;Taylor Swift
Brown Skin Girl;Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter
Hate Me;Ellie Goulding & Juice WRLD
Mood 4 Eva;Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare
Ballin';Mustard Featuring Roddy Ricch
Antisocial;Ed Sheeran & Travis Scott
South Of The Border;Ed Sheeran Featuring Camila Cabello & Cardi B
Remember The Name;Ed Sheeran Featuring Eminem & 50 Cent
Tip Of My Tongue;Kenny Chesney
Baguettes In The Face;Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie
Like A Rodeo;Kane Brown
Time;NF
Southbound;Carrie Underwood
Spirit;Beyonce
Best Part Of Me;Ed Sheeran Featuring YEBBA
Goodbyes;Post Malone Featuring Young Thug
Under The Sun;Dreamville Featuring J. Cole, Lute & DaBaby
BLOW;Ed Sheeran With Chris Stapleton & Bruno Mars
Costa Rica;Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God
No Me Conoce;Jhay Cortez, J Balvin & Bad Bunny
I Don't Know About You;Chris Lane
Beautiful People;Ed Sheeran Featuring Khalid
Higher Love;Kygo X Whitney Houston
Que Pretendes;J Balvin & Bad Bunny
Don't Check On Me;Chris Brown Featuring Justin Bieber & Ink
When I Grow Up;NF
My Type;Saweetie
Lalala;Y2K & bbno$
Senorita;Shawn Mendes & Camila Cabello
Panini;Lil Nas X
MEGATRON;Nicki Minaj
Rodeo;Lil Nas X & Cardi B
One Thing Right;Marshmello & Kane Brown
Out The Mud;Lil Baby Featuring Future
Cash Shit;Megan Thee Stallion Featuring DaBaby
Summer Days;Martin Garrix Featuring Macklemore & Patrick Stump
You Need To Calm Down;Taylor Swift
Money In The Grave;Drake Featuring Rick Ross
Omerta;Drake
Down Bad;Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy
Sanctuary;Joji
Rescue Me;Marshmello Featuring A Day To Remember
It's You;Ali Gatie
The Ones That Didn't Make It Back Home;Justin Moore
No Guidance;Chris Brown Featuring Drake
Even Though I'm Leaving;Luke Combs
The Git Up;Blanco Brown
Callaita;Bad Bunny & Tainy
Heaven;Avicii
Please Tell Me;Future
Amor Genuino;Ozuna
Only Human;Jonas Brothers
XanaX Damage;Future
Government Official;Future
Otro Trago;Sech, Darell, Nicky Jam, Ozuna & Anuel AA
Never Really Over;Katy Perry
Press;Cardi B
Mother's Daughter;Miley Cyrus
Call You Mine;The Chainsmokers & Bebe Rexha
The Search;NF
Shut Up About Politics;John Rich Featuring The Five
La La Land;Bryce Vine Featuring YG
Ran$om;Lil Tecca
Under Enemy Arms;Trippie Redd
Raised On Country;Chris Young
Trampoline;SHAED
The London;Young Thug, J. Cole & Travis Scott
Cross Me;Ed Sheeran Featuring Chance The Rapper & PnB Rock
Easier;5 Seconds Of Summer
Isis;Joyner Lucas Featuring Logic
Some Of It;Eric Church
Bacc At It Again;Yella Beezy, Gucci Mane & Quavo
HP;Maluma
Rearview Town;Jason Aldean
Earfquake;Tyler, The Creator
Nightmare;Halsey
Wish Wish;DJ Khaled Featuring Cardi B & 21 Savage
Higher;DJ Khaled Featuring Nipsey Hussle & John Legend
Just Us;DJ Khaled Featuring SZA
You Stay;DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih
I Think;Tyler, The Creator
Celebrate;DJ Khaled Featuring Travis Scott & Post Malone
Jealous;DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean
Running Out Of Time;Tyler, The Creator
Igor's Theme;Tyler, The Creator
New Magic Wand;Tyler, The Creator
A Boy Is A Gun;Tyler, The Creator
What's Good;Tyler, The Creator
What If I Never Get Over You;Lady Antebellum
Puppet;Tyler, The Creator
Weather The Storm;DJ Khaled Featuring Meek Mill & Lil Baby
I Don't Care;Ed Sheeran & Justin Bieber
Triggered;Jhene Aiko
Soltera;Lunay, Daddy Yankee & Bad Bunny
Someone You Loved;Lewis Capaldi
Te Robare;Nicky Jam X Ozuna
Juice;Lizzo
If I Can't Have You;Shawn Mendes
Homicide;Logic Featuring Eminem
Truth Hurts;Lizzo
Beer Never Broke My Heart;Luke Combs
Go Loko;YG, Tyga & Jon Z
Middle Child;PnB Rock & XXXTENTACION
All To Myself;Dan + Shay
Paradise;Bazzi
Die Young;Roddy Ricch
Floating;ScHoolboy Q Featuring 21 Savage
Baila Baila Baila;Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA
CHopstix;ScHoolboy Q + Travis Scott
Light It Up;Marshmello, Tyga & Chris Brown
Power Is Power;SZA, The Weeknd & Travis Scott
Knockin' Boots;Luke Bryan
Love Me Anyway;P!nk Featuring Chris Stapleton
Stop Snitching;YG
Earth;Lil Dicky
Before I Let Go;Beyonce
Slide;French Montana Featuring Blueface & Lil Tjay
Love Someone;Brett Eldredge
Shotta Flow;NLE Choppa
ME!;Taylor Swift Featuring Brendon Urie
Boy With Luv;BTS Featuring Halsey
Sanguine Paradise;Lil Uzi Vert
Blue On Black;Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May
SOS;Avicii Featuring Aloe Blacc
That's A Rack;Lil Uzi Vert
Love Ain't;Eli Young Band
Make It Right;BTS Featuring Lauv
Hey Look Ma, I Made It;Panic! At The Disco
Cool;Jonas Brothers
Kill This Love;BLACKPINK
Outta My Head;Khalid With John Mayer
Don't Pretend;Khalid x SAFE
Bad Luck;Khalid
Right Back;Khalid Featuring A Boogie Wit da Hoodie
Inmortal;Aventura
Big Ole Freak;Megan Thee Stallion
Victory Lap;Nipsey Hussle Featuring Stacy Barthe
Bad Guy;Billie Eilish
Xanny;Billie Eilish
My Strange Addiction;Billie Eilish
Racks In The Middle;Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
All The Good Girls Go To Hell;Billie Eilish
I Love You;Billie Eilish
God's Country;Blake Shelton
Ilomilo;Billie Eilish
Listen Before I Go;Billie Eilish
Double Up;Nipsey Hussle Featuring Belly & DOM KENNEDY
Monopoly;Ariana Grande & Victoria Monet
8;Billie Eilish
Last Time That I Checc'd;Nipsey Hussle Featuring YG
Suge;DaBaby
Dedication;Nipsey Hussle Featuring Kendrick Lamar
Price On My Head;NAV Featuring The Weeknd
Confessions Of A Dangerous Mind;Logic
Tap;NAV Featuring Meek Mill
Pop Out;Polo G Featuring Lil Tjay
Don't Call Me Up;Mabel
Last Hurrah;Bebe Rexha
Numb Numb Juice;ScHoolboy Q
Sally Walker;Iggy Azalea
Slow Dancing In The Dark;Joji
Empty;Juice WRLD
Fast;Juice WRLD
Maze;Juice WRLD
Here With Me;Marshmello Featuring CHVRCHES
My Bad;Khalid
Undrunk;FLETCHER
Rumor;Lee Brice
Flaws And Sins;Juice WRLD
Calma;Pedro Capo X Farruko
I've Been Waiting;Lil Peep & iLoveMakonnen Featuring Fall Out Boy
Sucker;Jonas Brothers
I;Lil Skies
Look What God Gave Her;Thomas Rhett
Hear Me Calling;Juice WRLD
Wish You Were Gay;Billie Eilish
Whip;2 Chainz Featuring Travis Scott
Act Up;City Girls
Old Town Road;Lil Nas X Featuring Billy Ray Cyrus
Whiskey Glasses;Morgan Wallen
I Can't Get Enough;benny blanco, Tainy, Selena Gomez & J Balvin
Rule The World;2 Chainz Featuring Ariana Grande
Momma I Hit A Lick;2 Chainz Featuring Kendrick Lamar
Legacy;Offset Featuring Travis Scott & 21 Savage
Walk Me Home;P!nk
Clout;Offset Featuring Cardi B
How Did I Get Here;Offset Featuring  J. Cole
Outstanding;Gunna
Be Like Me;Lil Pump Featuring Lil Wayne
3 Headed Snake;Gunna Featuring Young Thug
Wit It;Gunna
Lick;Offset
Girls Need Love;Summer Walker X Drake
Speed It Up;Gunna
I Guess I Just Feel Like;John Mayer
Good As You;Kane Brown
Same Yung N***a;Gunna Featuring Playboi Carti
Faucet Failure;Ski Mask The Slump God
Please Me;Cardi B & Bruno Mars
Robbery;Juice WRLD
Red Room;Offset
Talk You Out Of It;Florida Georgia Line
Eyes On You;Chase Rice
365;Zedd & Katy Perry
Worth It;YK Osiris
There Was This Girl;Riley Green
One That Got Away;Michael Ray
Break Up With Your Girlfriend, I'm Bored;Ariana Grande
Needy;Ariana Grande
NASA;Ariana Grande
Bloodline;Ariana Grande
Ghostin;Ariana Grande
Fake Smile;Ariana Grande
Bad Idea;Ariana Grande
In My Head;Ariana Grande
Talk;Khalid
Make Up;Ariana Grande
Who Do You Love;The Chainsmokers Featuring 5 Seconds Of Summer
Rainbow;Kacey Musgraves
One Call;Gunna
Miss Me More;Kelsea Ballerini
Put A Date On It;Yo Gotti Featuring Lil Baby
Bury A Friend;Billie Eilish
I'm So Tired...;Lauv & Troye Sivan
Shot Clock;Ella Mai
Sauce!;XXXTENTACION
Con Calma;Daddy Yankee & Katy Perry Featuring Snow
Night Shift;Jon Pardi
7 Rings;Ariana Grande
Middle Child;J. Cole
Keanu Reeves;Logic
First Off;Future Featuring Travis Scott
Never Stop;Future
Secreto;Anuel AA & Karol G
Mixed Personalities;YNW Melly Featuring Kanye West
Temptation;Future
Rocket Ship;Future
Pure Water;Mustard & Migos
F&N;Future
On My Way To You;Cody Johnson
Murder On My Mind;YNW Melly
GIRL;Maren Morris
Face My Fears;Hikaru Utada & Skrillex
Call The Coroner;Future
Lost In The Fire;Gesaffelstein & The Weeknd
Dancing With A Stranger;Sam Smith & Normani
Nights Like This;Kehlani Featuring Ty Dolla $ign
Thotiana;Blueface
Let Me Down Slowly;Alec Benjamin + Alessia Cara
Jumpin On A Jet;Future
Splashin;Rich The Kid
Undecided;Chris Brown
Crushed Up;Future
Butterfly Doors;Lil Pump
Valuable Pain;YoungBoy Never Broke Again
Baby Shark;Pinkfong
Take It From Me;Jordan Davis
What Makes You Country;Luke Bryan
Down To The Honkytonk;Jake Owen
Love Someone;Lukas Graham
Love Wins;Carrie Underwood
Ruin My Life;Zara Larsson
Body;Loud Luxury Featuring Brando
Here Tonight;Brett Young
Burn Out;Midland
Solo de Mi;Bad Bunny
Roses;benny blanco & Juice WRLD Featuring Brendon Urie
Make It Sweet;Old Dominion
idontwannabeyouanymore;Billie Eilish
A Lot;21 Savage
Blue Christmas;Elvis Presley
Wow.;Post Malone
Jingle Bells;Frank Sinatra
Swervin;A Boogie Wit da Hoodie Featuring 6ix9ine
Can't Leave Without It;21 Savage
Startender;A Boogie Wit da Hoodie Featuring Offset & Tyga
All My Friends;21 Savage
Break Da Law;21 Savage
Monster;21 Savage
1.5;21 Savage
Out For The Night;21 Savage
Gun Smoke;21 Savage
Demons And Angels;A Boogie Wit da Hoodie Featuring Juice WRLD
ASMR;21 Savage
Imagine;Ariana Grande
(There's No Place Like) Home For The Holidays;Perry Como
It's Beginning To Look A Lot Like Christmas;Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
Happy Xmas (War Is Over);John & Yoko/The Plastic Ono Band With The Harlem Community Choir
Wonderful Christmastime;Paul McCartney
Christmas (Baby Please Come Home);Darlene Love
MoshPit;Kodak Black Featuring Juice WRLD
Cozy Little Christmas;Katy Perry
Testimony;Kodak Black
Sweet But Psycho;Ava Max
Gnarly;Kodak Black Featuring Lil Pump
The Christmas Song;Lauren Daigle
Envy Me;Calboy
whoa (mind in awe);XXXTENTACION
Here Comes Santa Claus (Right Down Santa Claus Lane);Gene Autry
Sleigh Ride;The Ronettes
Guardian Angel;XXXTENTACION
I Don't Let Go;XXXTENTACION
One Minute;XXXTENTACION Featuring Kanye West & Travis Barker
Train Food;XXXTENTACION
What Are You So Afraid Of;XXXTENTACION
Staring At The Sky;XXXTENTACION
Difference (Interlude);XXXTENTACION
Look Back At It;A Boogie Wit da Hoodie
This Is It;Scotty McCreery
Going Bad;Meek Mill Featuring Drake
What's Free;Meek Mill Featuring Rick Ross & JAY-Z
On Me;Meek Mill Featuring Cardi B
Rudolph The Red-Nosed Reindeer;Gene Autry
Uptown Vibes;Meek Mill Featuring Fabolous & Anuel AA
Let It Snow, Let It Snow, Let It Snow;Dean Martin
Pure Cocaine;Lil Baby
24/7;Meek Mill Featuring Ella Mai
Intro;Meek Mill
Respect The Game;Meek Mill
Good Form;Nicki Minaj Featuring Lil Wayne
Trauma;Meek Mill
Time;Lil Baby Featuring Meek Mill
Nuketown;Ski Mask The Slump God Featuring Juice WRLD
Calling My Spirit;Kodak Black
Ready;Lil Baby Featuring Gunna
Nothing Breaks Like A Heart;Mark Ronson Featuring Miley Cyrus
Championships;Meek Mill
Tic Tac Toe;Meek Mill Featuring Kodak Black
Almost Slipped;Meek Mill
Splash Warning;Meek Mill Featuring Future, Roddy Ricch & Young Thug
Pay You Back;Meek Mill Featuring 21 Savage
Foot Fungus;Ski Mask The Slump God
Crush A Lot;Lil Baby
Oodles O' Noodles Babies;Meek Mill
Global;Lil Baby
Word On The Street;Lil Baby
MAMA;6ix9ine Featuring Nicki Minaj & Kanye West
KIKA;6ix9ine Featuring Tory Lanez
TIC TOC;6ix9ine Featuring Lil Baby
Come Out And Play;Billie Eilish
WAKA;6ix9ine Featuring A Boogie Wit da Hoodie
You;Jacquees
Take One;Kodak Black
Twerk;City Girls Featuring Cardi B
Ocean Eyes;Billie Eilish
Close To Me;Ellie Goulding X Diplo Featuring Swae Lee
Girl Like You;Jason Aldean
Burn The House Down;AJR
BAD!;XXXTENTACION
Armed And Dangerous;Juice WRLD
1400 / 999 Freestyle;Trippie Redd Featuring Juice WRLD
Love Scars 3;Trippie Redd
Bad Liar;Imagine Dragons
Negative Energy;Trippie Redd Featuring Kodie Shane
Sixteen;Thomas Rhett
Good Girl;Dustin Lynch
Last Shot;Kip Moore
Millionaire;Chris Stapleton
Toxic Waste;Trippie Redd
Thank U, Next;Ariana Grande
Don't Come Out The House;Metro Boomin Featuring 21 Savage
10 Freaky Girls;Metro Boomin Featuring 21 Savage
Space Cadet;Metro Boomin Featuring Gunna
Overdue;Metro Boomin Featuring Travis Scott
Dreamcatcher;Metro Boomin Featuring Swae Lee & Travis Scott
No More;Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage
Ella Quiere Beber;Anuel AA & Romeo Santos
Consequences;Camila Cabello
Casper;TakeOff
Up To Something;Metro Boomin Featuring Travis Scott & Young Thug
Arms Around You;XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
Last Memory;TakeOff
Talk To Me;Tory Lanez & Rich The Kid
Topanga;Trippie Redd
Dip;Tyga & Nicki Minaj
Waste It On Me;Steve Aoki Featuring BTS
A Million Dreams;P!nk
Be Alright;Dean Lewis
Kamikaze;Lil Mosey
Sunflower (Spider-Man: Into The Spider-Verse);Post Malone & Swae Lee
Fine China;Future & Juice WRLD
Money;Cardi B
When The Party's Over;Billie Eilish
Jet Lag;Future & Juice WRLD Featuring Young Scooter
Astronauts;Future & Juice WRLD
Saturday Nights;Khalid & Kane Brown
Suncity;Khalid Featuring Empress Of
Vertigo;Khalid
Yacht Club;Lil Yachty Featuring Juice WRLD
Make It Back;Juice WRLD
Kiss And Make Up;Dua Lipa & BLACKPINK
Get Dripped;Lil Yachty Featuring Playboi Carti
Burning Man;Dierks Bentley Featuring Brothers Osborne
ZEZE;Kodak Black Featuring Travis Scott & Offset
MIA;Bad Bunny Featuring Drake
Flip The Switch;Quavo Featuring Drake
Pass Out;Quavo Featuring 21 Savage
Biggest Alley Oop;Quavo
Rerun;Quavo Featuring Travis Scott
Huncho Dreams;Quavo
Lose It;Quavo Featuring Lil Baby
Never Recover;Lil Baby & Gunna Featuring Drake
Without Me;Halsey
STOOPID;6ix9ine Featuring Bobby Shmurda
Close Friends;Lil Baby
I'll Never Love Again;Lady Gaga
Always Remember Us This Way;Lady Gaga
Off White VLONE;Lil Baby & Gunna Featuring Lil Durk & NAV
Business Is Business;Lil Baby & Gunna
Is That Alright?;Lady Gaga
Belly;Lil Baby & Gunna
My Blood;twenty one pilots
Maybe It's Time;Bradley Cooper
Deep End;Lil Baby
I Am;Lil Baby & Gunna
Mona Lisa;Lil Wayne Featuring Kendrick Lamar
Don't Cry;Lil Wayne Featuring XXXTENTACION
Uproar;Lil Wayne
Let It Fly;Lil Wayne Featuring Travis Scott
Dedicate;Lil Wayne
Can't Be Broken;Lil Wayne
What About Me;Lil Wayne Featuring Sosamann
Dark Side Of The Moon;Lil Wayne Featuring Nicki Minaj
Taki Taki;DJ Snake Featuring Selena Gomez, Ozuna & Cardi B
Shallow;Lady Gaga & Bradley Cooper
Famous;Lil Wayne Featuring Reginae Carter
Dope N****z;Lil Wayne Featuring Snoop Dogg
Open Letter;Lil Wayne
If I'm Lyin, I'm Flyin;Kodak Black
Problems;Lil Wayne
Hittas;Lil Wayne
Open Safe;Lil Wayne
Took His Time;Lil Wayne
Mess;Lil Wayne
Let It All Work Out;Lil Wayne
Start This S**t Off Right;Lil Wayne Featuring Ashanti & Mack Maine
Used 2;Lil Wayne
Demon;Lil Wayne
Perfect Strangers;Lil Wayne
Dope New Gospel;Lil Wayne Featuring Nivea
No Stylist;French Montana Featuring Drake
Head Above Water;Avril Lavigne
This Feeling;The Chainsmokers Featuring Kelsea Ballerini
Backin' It Up;Pardison Fontaine Featuring Cardi B
Rich;Maren Morris
Killshot;Eminem
Drip Too Hard;Lil Baby & Gunna
Wake Up In The Sky;Gucci Mane X Bruno Mars X Kodak Black
New Patek;Lil Uzi Vert
Better;Khalid
Falling Down;Lil Peep & XXXTENTACION
Pretty Little Fears;6LACK Featuring J. Cole
Leave Me Alone;Flipp Dinero
Best Shot;Jimmie Allen
Noticed;Lil Mosey
I Love It;Kanye West & Lil Pump
Rap Devil;Machine Gun Kelly
Self Care;Mac Miller
Hurt Feelings;Mac Miller
Come Back To Earth;Mac Miller
Vaina Loca;Ozuna x Manuel Turizo
Speechless;Dan + Shay
Electricity;Silk City x Dua Lipa
Lucky You;Eminem Featuring Joyner Lucas
The Ringer;Eminem
Fall;Eminem
Kamikaze;Eminem
Greatest;Eminem
Not Alike;Eminem Featuring Royce Da 5'9
BEBE;6ix9ine Featuring Anuel AA
Normal;Eminem
Stepping Stone;Eminem
Venom;Eminem
Feels Like Summer;Childish Gambino
Nice Guy;Eminem & Jessie Reyez
Good Guy;Eminem Featuring Jessie Reyez
Thunderclouds;Labrinth, Sia & Diplo Present... LSD
Hangin' On;Chris Young
IDOL;BTS Featuring Nicki Minaj
I Am Who They Say I Am;YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo
Unica;Ozuna
Mo Bamba;Sheck Wes
Smile (Living My Best Life);Lil' Duval Featuring Snoop Dogg & Ball Greezy
Drunk Girl;Chris Janson
The Way I Am;Charlie Puth
Happy Now;Zedd & Elley Duhe
Breathin;Ariana Grande
Sweetener;Ariana Grande
Everytime;Ariana Grande
Happier;Marshmello & Bastille
Promises;Calvin Harris & Sam Smith
R.E.M;Ariana Grande
Blue Tacoma;Russell Dickerson
Chanel (Go Get It);Young Thug Featuring Gunna & Lil Baby
Goodnight N Go;Ariana Grande
Made For Now;Janet & Daddy Yankee
Pete Davidson;Ariana Grande
Barbie Dreams;Nicki Minaj
Taking A Walk;Trippie Redd
Majesty;Nicki Minaj Featuring Eminem & Labrinth
Ganja Burns;Nicki Minaj
W O R K I N  M E;Quavo
Album Of The Year (Freestyle);J. Cole
Have It All;Jason Mraz
Drew Barrymore;Bryce Vine
She Got The Best Of Me;Luke Combs
Thought I Knew You;Nicki Minaj Featuring The Weeknd
Sicko Mode;Travis Scott
Stargazing;Travis Scott
Carousel;Travis Scott
Yosemite;Travis Scott
R.I.P Screw;Travis Scott
Stop Trying To Be God;Travis Scott
Wake Up;Travis Scott
No Bystanders;Travis Scott
5% Tint;Travis Scott
Can't Say;Travis Scott
NC-17;Travis Scott
Who? What!;Travis Scott
Skeletons;Travis Scott
Astrothunder;Travis Scott
Houstonfornication;Travis Scott
Beautiful;Bazzi Featuring Camila Cabello
Coffee Bean;Travis Scott
Could've Been;H.E.R. Featuring Bryson Tiller
Trip;Ella Mai
Lean Wit Me;Juice WRLD
No Brainer;DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo
One Day;Logic Featuring Ryan Tedder
Side Effects;The Chainsmokers Featuring Emily Warren
That's On Me;Yella Beezy
Handgun;YG Featuring A$AP Rocky
Drunk Me;Mitchell Tenpenny
FEFE;6ix9ine Featuring Nicki Minaj & Murda Beatz
Natural;Imagine Dragons
I Might Need Security;Chance The Rapper
Level Up;Ciara
Best Part;Daniel Caesar Featuring H.E.R.
Nevermind;Dennis Lloyd
You Should See Me In A Crown;Billie Eilish
Lie;NF
God Is A Woman;Ariana Grande
Summertime Magic;Childish Gambino
You Say;Lauren Daigle
Eastside;benny blanco, Halsey & Khalid
Wasted;Juice WRLD Featuring Lil Uzi Vert
Desperate Man;Eric Church
Hopeless Romantic;Wiz Khalifa Featuring Swae Lee
Fr Fr;Wiz Khalifa Featuring Lil Skies
Nico And The Niners;twenty one pilots
Broken;lovelytheband
Hooked;Dylan Scott
Ocean;TK Kravitz Featuring Jacqueez
1942;G-Eazy Featuring Yo Gotti & YBN Nahmir
I'm A Mess;Bebe Rexha
